configuration_id,LL_dynamic_02_alpha,LL_dynamic_02_beta,LL_dynamic_02_gamma,LL_dynamic_02_a,LL_dynamic_02_b,seed,time,bound,solved
1,1,1,1,1.1,0.7,976964627,6910,150000,1
1,1,1,1,1.1,0.7,1010701430,5916,150000,1
1,1,1,1,1.1,0.7,917007886,6706,150000,1
1,1,1,1,1.1,0.7,1673570350,7115,150000,1
1,1,1,1,1.1,0.7,1511508930,6627,150000,1
1,1,1,1,1.1,0.7,395064476,8014,150000,1
1,1,1,1,1.1,0.7,2037563455,7146,150000,1
1,1,1,1,1.1,0.7,1177142122,6447,150000,1
1,1,1,1,1.1,0.7,976064959,6791,150000,1
1,1,1,1,1.1,0.7,926352561,6691,150000,1
1,1,1,1,1.1,0.7,1590962420,6650,150000,1
1,1,1,1,1.1,0.7,1129705271,6122,150000,1
2,6.1228,5.8986,9.6161,2.0342,0.7851,976964627,150923,150000,0
3,6.9471,1.7189,8.8045,1.7672,0.7227,976964627,152035,150000,0
4,6.5276,7.8135,6.5102,1.967,0.4358,976964627,151125,150000,0
5,1.6272,9.4438,8.8393,1.5978,0.667,976964627,156432,150000,0
6,8.9571,3.9143,6.2031,2.0746,0.425,976964627,152366,150000,0
7,9.7307,9.7472,1.3249,1.3309,0.7873,976964627,155600,150000,0
8,6.64,7.6943,2.6938,2.0818,0.9355,976964627,153338,150000,0
9,7.5786,1.0401,3.9986,2.4788,0.7187,976964627,151014,150000,0
10,2.1938,7.0495,3.6465,1.8845,0.6524,976964627,157346,150000,0
11,4.5452,6.9684,1.1232,2.4934,0.5063,976964627,154029,150000,0
12,3.8491,5.9556,7.3293,2.1605,0.7758,976964627,156724,150000,0
13,4.0858,6.6453,7.3385,1.7084,0.5994,976964627,154358,150000,0
14,5.3186,5.2645,4.6001,1.8767,0.7949,976964627,150808,150000,0
15,9.727,2.4364,6.0207,1.9496,0.5603,976964627,153016,150000,0
16,5.5722,4.9614,5.4792,1.8845,0.4494,976964627,153615,150000,0
17,1.5768,3.1362,6.7397,1.4256,0.5279,976964627,152305,150000,0
18,4.7128,8.3386,2.2452,1.7988,0.5666,976964627,152088,150000,0
19,8.4526,7.2487,1.5129,1.1117,0.7817,976964627,151456,150000,0
20,5.0736,3.7293,0.4844,1.509,0.4335,976964627,21538,150000,1
21,4.4757,7.9024,6.7846,2.1598,0.8199,976964627,158435,150000,0
22,9.9546,2.535,5.4906,2.2297,0.8959,976964627,152299,150000,0
23,7.3618,2.3051,9.1436,1.9622,0.6742,976964627,152527,150000,0
24,2.4902,6.6909,6.4342,1.8437,0.7302,976964627,151042,150000,0
25,1.8791,3.2925,3.0044,1.6541,0.5788,976964627,147502,150000,1
26,0.6719,7.6245,1.2034,2.4246,0.4575,976964627,151961,150000,0
27,5.6807,4.2919,2.8714,2.1793,0.4919,976964627,153346,150000,0
28,6.3072,5.0848,6.7333,1.9951,0.8419,976964627,154715,150000,0
29,6.5633,6.9046,1.5025,1.4057,0.9175,976964627,154085,150000,0
30,0.3667,7.7262,4.2653,1.0511,0.9101,976964627,17857,150000,1
30,0.3667,7.7262,4.2653,1.0511,0.9101,1010701430,18212,150000,1
30,0.3667,7.7262,4.2653,1.0511,0.9101,917007886,17901,150000,1
30,0.3667,7.7262,4.2653,1.0511,0.9101,1673570350,17963,150000,1
30,0.3667,7.7262,4.2653,1.0511,0.9101,1511508930,18080,150000,1
30,0.3667,7.7262,4.2653,1.0511,0.9101,395064476,18500,150000,1
30,0.3667,7.7262,4.2653,1.0511,0.9101,2037563455,16632,150000,1
30,0.3667,7.7262,4.2653,1.0511,0.9101,1177142122,21886,150000,1
30,0.3667,7.7262,4.2653,1.0511,0.9101,976064959,17010,150000,1
30,0.3667,7.7262,4.2653,1.0511,0.9101,926352561,17531,150000,1
