configuration_id,LL_dynamic_01_a,LL_dynamic_01_b,seed,time,bound,solved
1,1.6535,0.6944,914123138,315239,3e+05,0
2,1.9803,0.6383,914123138,315587,3e+05,0
3,2.4651,0.7252,914123138,301229,3e+05,0
4,2.1402,0.7089,914123138,300847,3e+05,0
5,1.9255,0.7165,914123138,310551,3e+05,0
6,1.763,0.5956,914123138,304673,3e+05,0
7,2.3083,0.4843,914123138,307464,3e+05,0
8,2.0571,0.4725,914123138,300354,3e+05,0
9,2.2182,0.6897,914123138,309228,3e+05,0
10,2.3809,0.7706,914123138,307188,3e+05,0
11,2.4739,0.576,914123138,300814,3e+05,0
12,1.6466,0.6618,914123138,302670,3e+05,0
13,1.6948,0.9687,914123138,311035,3e+05,0
14,2.3172,0.9151,914123138,307916,3e+05,0
15,2.3595,0.6499,914123138,314530,3e+05,0
16,1.5091,0.9391,914123138,314888,3e+05,0
17,1.0596,0.7319,914123138,72240,3e+05,1
18,1.1155,0.4789,914123138,72852,3e+05,1
19,2.0761,0.982,914123138,310455,3e+05,0
20,1.554,0.5548,914123138,160788,3e+05,1
21,1.2991,0.6035,914123138,127471,3e+05,1
22,1.8653,0.7673,914123138,315539,3e+05,0
23,1.82,0.618,914123138,306283,3e+05,0
24,1.8802,0.5676,914123138,304584,3e+05,0
25,1.0233,0.9725,914123138,112947,3e+05,1
26,1.4348,0.645,914123138,189602,3e+05,1
27,1.1606,0.495,914123138,72237,3e+05,1
28,1.1282,0.4042,914123138,71086,3e+05,1
29,2.1506,0.512,914123138,312374,3e+05,0
30,2.2524,0.6598,914123138,308117,3e+05,0
31,1.2187,0.834,914123138,301347,3e+05,0
32,2.1034,0.6537,914123138,315841,3e+05,0
33,1.2559,0.5751,914123138,79019,3e+05,1
34,1.7396,0.8872,914123138,308125,3e+05,0
35,2.3488,0.544,914123138,309468,3e+05,0
36,1.5381,0.5769,914123138,194207,3e+05,1
37,2.2889,0.5926,914123138,310250,3e+05,0
38,2.2006,0.9731,914123138,307637,3e+05,0
39,1.8983,0.8553,914123138,308114,3e+05,0
40,1.7929,0.6133,914123138,312484,3e+05,0
41,1.1541,0.4922,914123138,70280,3e+05,1
42,1.9832,0.8614,914123138,301302,3e+05,0
43,1.7145,0.5735,914123138,300786,3e+05,0
44,1.8351,0.7651,914123138,311651,3e+05,0
45,1.4616,0.8675,914123138,311693,3e+05,0
46,1.1608,0.5502,914123138,73142,3e+05,1
47,1.9576,0.6353,914123138,309074,3e+05,0
48,1.0994,0.7582,914123138,71209,3e+05,1
49,2.4604,0.7141,914123138,312021,3e+05,0
50,1.0177,0.4906,914123138,92080,3e+05,1
51,1.7495,0.7132,914123138,309192,3e+05,0
52,2.0164,0.6683,914123138,315016,3e+05,0
53,2.2835,0.8947,914123138,314542,3e+05,0
54,2.3861,0.6994,914123138,307792,3e+05,0
55,2.2167,0.4409,914123138,302074,3e+05,0
56,1.8624,0.5888,914123138,312903,3e+05,0
57,1.5876,0.9752,914123138,307769,3e+05,0
58,1.4934,0.5429,914123138,128991,3e+05,1
59,1.3693,0.8257,914123138,306123,3e+05,0
60,1.4322,0.9674,914123138,302542,3e+05,0
61,1.5903,0.6467,914123138,303200,3e+05,0
62,2.3238,0.8906,914123138,301676,3e+05,0
63,2.3653,0.5074,914123138,309254,3e+05,0
64,1.0146,0.4718,914123138,91832,3e+05,1
65,1.2258,0.7534,914123138,142358,3e+05,1
66,1.286,0.4544,914123138,73889,3e+05,1
67,1.5473,0.4561,914123138,100823,3e+05,1
68,1.7593,0.8062,914123138,303604,3e+05,0
69,1.1685,0.6897,914123138,74010,3e+05,1
70,1.0444,0.7773,914123138,69031,3e+05,1
70,1.0444,0.7773,123368905,68597,3e+05,1
70,1.0444,0.7773,1487355723,67270,3e+05,1
70,1.0444,0.7773,1157073988,68715,3e+05,1
70,1.0444,0.7773,270422674,70592,3e+05,1
70,1.0444,0.7773,673218025,70686,3e+05,1
70,1.0444,0.7773,607386998,73038,3e+05,1
70,1.0444,0.7773,684311997,68987,3e+05,1
70,1.0444,0.7773,2112837894,70121,3e+05,1
70,1.0444,0.7773,230499717,70847,3e+05,1
70,1.0444,0.7773,596850252,68373,3e+05,1
71,2.2665,0.8088,914123138,303822,3e+05,0
72,2.427,0.8868,914123138,311695,3e+05,0
73,1.9949,0.5279,914123138,302263,3e+05,0
74,1.6066,0.5104,914123138,124551,3e+05,1
75,2.4886,0.6196,914123138,306393,3e+05,0
76,1.487,0.7844,914123138,314719,3e+05,0
77,1.5046,0.7458,914123138,315212,3e+05,0
78,1.9782,0.5244,914123138,303955,3e+05,0
79,1.9819,0.5257,914123138,302290,3e+05,0
80,1.8776,0.6217,914123138,301337,3e+05,0
81,1.9692,0.8253,914123138,309508,3e+05,0
82,1.853,0.7553,914123138,308553,3e+05,0
83,1.3479,0.9138,914123138,309427,3e+05,0
84,1.1175,0.619,914123138,70654,3e+05,1
85,2.1312,0.6202,914123138,301455,3e+05,0
86,1.7146,0.8064,914123138,307240,3e+05,0
87,1.8244,0.7101,914123138,311729,3e+05,0
88,1.9344,0.4624,914123138,226761,3e+05,1
89,2.179,0.6541,914123138,305301,3e+05,0
90,1.2885,0.7477,914123138,161513,3e+05,1
91,1.8147,0.7307,914123138,301642,3e+05,0
92,1.9649,0.8517,914123138,307768,3e+05,0
93,1.8152,0.7333,914123138,308249,3e+05,0
94,2.1768,0.6905,914123138,312679,3e+05,0
95,2.488,0.7085,914123138,314265,3e+05,0
96,1.9236,0.402,914123138,280283,3e+05,1
97,1.9299,0.5469,914123138,305762,3e+05,0
98,2.1487,0.8147,914123138,302567,3e+05,0
99,1.0895,0.4165,914123138,79156,3e+05,1
100,1.4257,0.4176,914123138,84516,3e+05,1
101,1.5145,0.7686,914123138,308786,3e+05,0
