configuration_id,LL_dynamic_01_a,LL_dynamic_01_b,seed,time,bound,solved
1,1.6535,0.6944,914123138,201305,2e+05,0
2,1.9803,0.6383,914123138,202789,2e+05,0
3,2.4651,0.7252,914123138,203233,2e+05,0
4,2.1402,0.7089,914123138,202337,2e+05,0
5,1.9255,0.7165,914123138,204609,2e+05,0
6,1.763,0.5956,914123138,201493,2e+05,0
7,2.3083,0.4843,914123138,203742,2e+05,0
8,2.0571,0.4725,914123138,111610,2e+05,1
9,2.2182,0.6897,914123138,204711,2e+05,0
10,2.3809,0.7706,914123138,204786,2e+05,0
11,2.4739,0.576,914123138,200043,2e+05,0
12,1.6466,0.6618,914123138,203365,2e+05,0
13,1.6948,0.9687,914123138,202931,2e+05,0
14,2.3172,0.9151,914123138,202649,2e+05,0
15,2.3595,0.6499,914123138,201355,2e+05,0
16,1.5091,0.9391,914123138,203378,2e+05,0
17,1.0596,0.7319,914123138,21236,2e+05,1
18,1.1155,0.4789,914123138,20009,2e+05,1
19,2.0761,0.982,914123138,204328,2e+05,0
20,1.554,0.5548,914123138,46355,2e+05,1
21,1.2991,0.6035,914123138,27157,2e+05,1
22,1.8653,0.7673,914123138,204108,2e+05,0
23,1.82,0.618,914123138,201438,2e+05,0
24,1.8802,0.5676,914123138,201591,2e+05,0
25,1.0233,0.9725,914123138,31365,2e+05,1
26,1.4348,0.645,914123138,38795,2e+05,1
27,1.1606,0.495,914123138,20137,2e+05,1
28,1.1282,0.4042,914123138,21280,2e+05,1
29,2.1506,0.512,914123138,203813,2e+05,0
30,2.2524,0.6598,914123138,200562,2e+05,0
31,1.2187,0.834,914123138,201799,2e+05,0
32,2.1034,0.6537,914123138,201442,2e+05,0
33,1.2559,0.5751,914123138,23196,2e+05,1
34,1.7396,0.8872,914123138,203736,2e+05,0
35,2.3488,0.544,914123138,200117,2e+05,0
36,1.5381,0.5769,914123138,58687,2e+05,1
37,2.2889,0.5926,914123138,200728,2e+05,0
38,2.2006,0.9731,914123138,202402,2e+05,0
39,1.8983,0.8553,914123138,202586,2e+05,0
40,1.7929,0.6133,914123138,200907,2e+05,0
41,1.1541,0.4922,914123138,20239,2e+05,1
42,1.9832,0.8614,914123138,200607,2e+05,0
43,1.7145,0.5735,914123138,92464,2e+05,1
44,1.8351,0.7651,914123138,203844,2e+05,0
45,1.4616,0.8675,914123138,204776,2e+05,0
46,1.1608,0.5502,914123138,21378,2e+05,1
47,1.9576,0.6353,914123138,203109,2e+05,0
48,1.0994,0.7582,914123138,21493,2e+05,1
49,2.4604,0.7141,914123138,202241,2e+05,0
50,1.0177,0.4906,914123138,23941,2e+05,1
51,1.7495,0.7132,914123138,202615,2e+05,0
52,2.0164,0.6683,914123138,204382,2e+05,0
53,2.2835,0.8947,914123138,201057,2e+05,0
54,2.3861,0.6994,914123138,201779,2e+05,0
55,2.2167,0.4409,914123138,111893,2e+05,1
56,1.8624,0.5888,914123138,200909,2e+05,0
57,1.5876,0.9752,914123138,203175,2e+05,0
58,1.4934,0.5429,914123138,34974,2e+05,1
59,1.3693,0.8257,914123138,201518,2e+05,0
60,1.4322,0.9674,914123138,202341,2e+05,0
61,1.5903,0.6467,914123138,202037,2e+05,0
62,2.3238,0.8906,914123138,201671,2e+05,0
63,2.3653,0.5074,914123138,203162,2e+05,0
64,1.0146,0.4718,914123138,28794,2e+05,1
65,1.2258,0.7534,914123138,35421,2e+05,1
66,1.286,0.4544,914123138,21874,2e+05,1
67,1.5473,0.4561,914123138,27955,2e+05,1
68,1.7593,0.8062,914123138,201336,2e+05,0
69,1.1685,0.6897,914123138,21480,2e+05,1
