configuration_id,LL_dynamic_01_a,LL_dynamic_01_b,seed,time,bound,solved
1,1.6535,0.6944,914123138,152079,150000,0
2,1.9803,0.6383,914123138,150290,150000,0
3,2.4651,0.7252,914123138,151055,150000,0
4,2.1402,0.7089,914123138,151781,150000,0
5,1.9255,0.7165,914123138,151508,150000,0
6,1.763,0.5956,914123138,150381,150000,0
7,2.3083,0.4843,914123138,151424,150000,0
8,2.0571,0.4725,914123138,56564,150000,1
9,2.2182,0.6897,914123138,150358,150000,0
10,2.3809,0.7706,914123138,151661,150000,0
11,2.4739,0.576,914123138,151042,150000,0
12,1.6466,0.6618,914123138,150224,150000,0
13,1.6948,0.9687,914123138,151401,150000,0
14,2.3172,0.9151,914123138,150324,150000,0
15,2.3595,0.6499,914123138,151038,150000,0
16,1.5091,0.9391,914123138,151040,150000,0
17,1.0596,0.7319,914123138,10647,150000,1
18,1.1155,0.4789,914123138,10014,150000,1
19,2.0761,0.982,914123138,150976,150000,0
20,1.554,0.5548,914123138,19880,150000,1
21,1.2991,0.6035,914123138,12843,150000,1
22,1.8653,0.7673,914123138,150359,150000,0
23,1.82,0.618,914123138,151800,150000,0
24,1.8802,0.5676,914123138,150344,150000,0
25,1.0233,0.9725,914123138,12279,150000,1
26,1.4348,0.645,914123138,18040,150000,1
27,1.1606,0.495,914123138,10989,150000,1
28,1.1282,0.4042,914123138,10818,150000,1
29,2.1506,0.512,914123138,151238,150000,0
30,2.2524,0.6598,914123138,151054,150000,0
31,1.2187,0.834,914123138,152343,150000,0
32,2.1034,0.6537,914123138,150344,150000,0
33,1.2559,0.5751,914123138,10721,150000,1
34,1.7396,0.8872,914123138,150587,150000,0
35,2.3488,0.544,914123138,150978,150000,0
36,1.5381,0.5769,914123138,26375,150000,1
37,2.2889,0.5926,914123138,152382,150000,0
38,2.2006,0.9731,914123138,152353,150000,0
39,1.8983,0.8553,914123138,152044,150000,0
40,1.7929,0.6133,914123138,150313,150000,0
41,1.1541,0.4922,914123138,9560,150000,1
41,1.1541,0.4922,123368905,10448,150000,1
41,1.1541,0.4922,1487355723,9327,150000,1
41,1.1541,0.4922,1157073988,10447,150000,1
41,1.1541,0.4922,270422674,9677,150000,1
41,1.1541,0.4922,673218025,8968,150000,1
41,1.1541,0.4922,607386998,10871,150000,1
41,1.1541,0.4922,684311997,9701,150000,1
41,1.1541,0.4922,2112837894,9978,150000,1
41,1.1541,0.4922,230499717,10394,150000,1
41,1.1541,0.4922,596850252,11397,150000,1
42,1.9832,0.8614,914123138,150225,150000,0
43,1.7145,0.5735,914123138,80111,150000,1
44,1.8351,0.7651,914123138,150667,150000,0
45,1.4616,0.8675,914123138,151056,150000,0
46,1.1608,0.5502,914123138,10471,150000,1
47,1.9576,0.6353,914123138,151047,150000,0
48,1.0994,0.7582,914123138,10475,150000,1
49,2.4604,0.7141,914123138,150564,150000,0
50,1.0177,0.4906,914123138,14459,150000,1
51,1.7495,0.7132,914123138,151803,150000,0
52,2.0164,0.6683,914123138,151837,150000,0
53,2.2835,0.8947,914123138,151817,150000,0
54,2.3861,0.6994,914123138,150853,150000,0
55,2.2167,0.4409,914123138,66256,150000,1
56,1.8624,0.5888,914123138,152401,150000,0
57,1.5876,0.9752,914123138,152083,150000,0
58,1.4934,0.5429,914123138,21907,150000,1
59,1.3693,0.8257,914123138,152178,150000,0
60,1.4322,0.9674,914123138,150380,150000,0
61,1.5903,0.6467,914123138,150389,150000,0
62,2.3238,0.8906,914123138,152064,150000,0
63,2.3653,0.5074,914123138,150427,150000,0
64,1.0146,0.4718,914123138,14736,150000,1
65,1.2258,0.7534,914123138,16373,150000,1
66,1.286,0.4544,914123138,10450,150000,1
67,1.5473,0.4561,914123138,15461,150000,1
68,1.7593,0.8062,914123138,151036,150000,0
69,1.1685,0.6897,914123138,10354,150000,1
70,1.0444,0.7773,914123138,10639,150000,1
71,2.2665,0.8088,914123138,151156,150000,0
72,2.427,0.8868,914123138,150750,150000,0
73,1.9949,0.5279,914123138,151982,150000,0
74,1.6066,0.5104,914123138,20428,150000,1
75,2.4886,0.6196,914123138,151950,150000,0
76,1.487,0.7844,914123138,152298,150000,0
77,1.5046,0.7458,914123138,150224,150000,0
78,1.9782,0.5244,914123138,151700,150000,0
79,1.9819,0.5257,914123138,151337,150000,0
80,1.8776,0.6217,914123138,151303,150000,0
81,1.9692,0.8253,914123138,150164,150000,0
82,1.853,0.7553,914123138,150382,150000,0
83,1.3479,0.9138,914123138,151777,150000,0
84,1.1175,0.619,914123138,9703,150000,1
84,1.1175,0.619,123368905,10883,150000,1
84,1.1175,0.619,1487355723,9676,150000,1
84,1.1175,0.619,1157073988,9652,150000,1
84,1.1175,0.619,270422674,10814,150000,1
84,1.1175,0.619,673218025,10414,150000,1
84,1.1175,0.619,607386998,10784,150000,1
84,1.1175,0.619,684311997,10621,150000,1
84,1.1175,0.619,2112837894,10800,150000,1
84,1.1175,0.619,230499717,9166,150000,1
84,1.1175,0.619,596850252,9685,150000,1
85,2.1312,0.6202,914123138,150138,150000,0
86,1.7146,0.8064,914123138,150352,150000,0
87,1.8244,0.7101,914123138,151056,150000,0
88,1.9344,0.4624,914123138,23868,150000,1
89,2.179,0.6541,914123138,151901,150000,0
90,1.2885,0.7477,914123138,29033,150000,1
91,1.8147,0.7307,914123138,150306,150000,0
92,1.9649,0.8517,914123138,151313,150000,0
93,1.8152,0.7333,914123138,150759,150000,0
94,2.1768,0.6905,914123138,151286,150000,0
95,2.488,0.7085,914123138,150649,150000,0
96,1.9236,0.402,914123138,20148,150000,1
97,1.9299,0.5469,914123138,151328,150000,0
98,2.1487,0.8147,914123138,151552,150000,0
99,1.0895,0.4165,914123138,10526,150000,1
100,1.4257,0.4176,914123138,11565,150000,1
101,1.5145,0.7686,914123138,151977,150000,0
102,1.7705,0.858,914123138,152038,150000,0
103,2.1865,0.8835,914123138,150179,150000,0
104,2.0345,0.7611,914123138,150206,150000,0
105,1.1029,0.6432,914123138,10045,150000,1
106,2.165,0.9751,914123138,152030,150000,0
107,1.9507,0.4589,914123138,29972,150000,1
108,2.2233,0.97,914123138,150371,150000,0
109,1.9678,0.989,914123138,151912,150000,0
110,2.1259,0.5644,914123138,152017,150000,0
111,2.4133,0.4844,914123138,150249,150000,0
112,1.7688,0.4841,914123138,25527,150000,1
113,1.5311,0.8082,914123138,151394,150000,0
114,1.3448,0.8213,914123138,151452,150000,0
115,1.8749,0.66,914123138,151119,150000,0
116,1.1,0.4059,914123138,10530,150000,1
117,1.6164,0.712,914123138,150407,150000,0
118,1.7133,0.9319,914123138,150327,150000,0
119,1.574,0.7844,914123138,151346,150000,0
120,1.503,0.6988,914123138,150270,150000,0
121,1.4033,0.7663,914123138,150741,150000,0
122,1.3455,0.6949,914123138,55855,150000,1
123,1.3176,0.7734,914123138,151663,150000,0
124,2.2694,0.5223,914123138,151713,150000,0
125,1.6146,0.6093,914123138,34605,150000,1
126,2.3766,0.7881,914123138,152350,150000,0
127,2.21,0.6992,914123138,150940,150000,0
128,1.1702,0.7784,914123138,15100,150000,1
129,1.8296,0.7979,914123138,151778,150000,0
130,1.6564,0.4537,914123138,24012,150000,1
131,2.1021,0.4243,914123138,38138,150000,1
132,1.4671,0.8329,914123138,151038,150000,0
133,1.2164,0.9537,914123138,150095,150000,0
134,1.1106,0.5434,914123138,11167,150000,1
135,1.7192,0.8361,914123138,151988,150000,0
136,2.3011,0.6921,914123138,150739,150000,0
137,2.3148,0.4433,914123138,151287,150000,0
138,1.3636,0.7687,914123138,151951,150000,0
139,1.4368,0.6158,914123138,16148,150000,1
140,1.4146,0.974,914123138,151607,150000,0
141,1.3698,0.8488,914123138,151173,150000,0
142,2.264,0.7615,914123138,151411,150000,0
143,1.5007,0.5065,914123138,22095,150000,1
144,1.1116,0.8253,914123138,11139,150000,1
145,2.1713,0.7946,914123138,151050,150000,0
146,1.7455,0.6081,914123138,150813,150000,0
147,1.5557,0.5568,914123138,22317,150000,1
148,2.4729,0.4561,914123138,151734,150000,0
149,1.8469,0.8331,914123138,150981,150000,0
150,2.1589,0.7911,914123138,150776,150000,0
151,2.088,0.9115,914123138,151719,150000,0
152,1.0839,0.5902,270422674,10267,10261,0
152,1.0839,0.5902,596850252,10526,10542,1
153,1.1162,0.4947,1157073988,10038,10390,1
153,1.1162,0.4947,270422674,10989,11329,1
153,1.1162,0.4947,673218025,10270,10232,0
153,1.1162,0.4947,596850252,9458,10542,1
154,1.1322,0.5021,1157073988,9849,11699,1
154,1.1322,0.5021,270422674,9647,11296,1
154,1.1322,0.5021,673218025,10114,10302,1
154,1.1322,0.5021,2112837894,9538,11439,1
154,1.1322,0.5021,230499717,10251,10230,0
154,1.1322,0.5021,596850252,9491,10542,1
155,1.1461,0.4721,596850252,10620,10542,0
156,1.0849,0.613,596850252,10598,10542,0
157,1.2073,0.5007,270422674,11408,11353,0
157,1.2073,0.5007,596850252,9434,10542,1
158,1.1824,0.604,1157073988,11088,10975,0
158,1.1824,0.604,270422674,10104,11152,1
158,1.1824,0.604,596850252,9635,10542,1
159,1.1563,0.4971,1157073988,11126,11565,1
159,1.1563,0.4971,270422674,9872,10989,1
159,1.1563,0.4971,673218025,9252,10974,1
159,1.1563,0.4971,2112837894,10172,11397,1
159,1.1563,0.4971,230499717,10488,10735,1
159,1.1563,0.4971,596850252,9798,10542,1
160,1.15,0.5034,1157073988,10557,10570,1
160,1.15,0.5034,270422674,10227,11081,1
160,1.15,0.5034,673218025,9876,10582,1
160,1.15,0.5034,2112837894,10989,10831,0
160,1.15,0.5034,596850252,9706,10542,1
161,1.0495,0.614,596850252,10545,10542,0
162,1.1381,0.5065,1487355723,10275,11280,1
162,1.1381,0.5065,1157073988,10249,10346,1
162,1.1381,0.5065,270422674,9474,11104,1
162,1.1381,0.5065,673218025,9858,9975,1
162,1.1381,0.5065,2112837894,9931,11565,1
162,1.1381,0.5065,230499717,11357,11377,1
162,1.1381,0.5065,596850252,9683,10542,1
163,1.0983,0.4855,270422674,10561,10554,0
163,1.0983,0.4855,596850252,10233,10542,1
164,1.1471,0.6083,1157073988,10060,10050,0
164,1.1471,0.6083,270422674,10579,10838,1
164,1.1471,0.6083,596850252,9949,10542,1
165,1.0836,0.5911,596850252,10576,10542,0
166,1.145,0.4596,596850252,10559,10542,0
167,1.1803,0.5993,596850252,10567,10542,0
168,1.1676,0.5242,596850252,10555,10542,0
169,1.0649,0.4818,596850252,10575,10542,0
170,1.2422,0.472,596850252,10558,10542,0
171,1.1228,0.5025,1157073988,10282,10260,0
171,1.1228,0.5025,270422674,10808,10813,1
171,1.1228,0.5025,596850252,9974,10542,1
172,1.113,0.525,596850252,10622,10542,0
173,1.1816,0.5037,1157073988,9679,10801,1
173,1.1816,0.5037,270422674,10938,11388,1
173,1.1816,0.5037,673218025,9949,9945,0
173,1.1816,0.5037,596850252,9399,10542,1
174,1.1242,0.4949,1157073988,11097,11298,1
174,1.1242,0.4949,270422674,10878,11167,1
174,1.1242,0.4949,596850252,9620,10542,1
175,1.1699,0.4975,596850252,10588,10542,0
176,1.1545,0.4657,1157073988,10062,10050,0
176,1.1545,0.4657,270422674,10222,10613,1
176,1.1545,0.4657,596850252,10174,10542,1
177,1.1667,0.4829,1157073988,10104,11282,1
177,1.1667,0.4829,270422674,9975,10936,1
177,1.1667,0.4829,673218025,9440,10606,1
177,1.1667,0.4829,2112837894,10451,10389,0
177,1.1667,0.4829,596850252,9851,10542,1
178,1.1866,0.5181,1157073988,11069,11268,1
178,1.1866,0.5181,270422674,10151,10684,1
178,1.1866,0.5181,596850252,10103,10542,1
179,1.1667,0.5902,596850252,10581,10542,0
180,1.1256,0.4872,1157073988,10079,10050,0
180,1.1256,0.4872,270422674,10327,10473,1
180,1.1256,0.4872,596850252,10314,10542,1
181,1.0989,0.6375,270422674,10963,10953,0
181,1.0989,0.6375,596850252,9834,10542,1
182,1.1711,0.4942,596850252,10572,10542,0
183,1.1567,0.4914,1157073988,10492,10570,1
183,1.1567,0.4914,270422674,9970,10524,1
183,1.1567,0.4914,673218025,9966,9890,0
183,1.1567,0.4914,596850252,10263,10542,1
184,1.1074,0.4945,596850252,10582,10542,0
185,1.0636,0.5317,596850252,10554,10542,0
186,1.1498,0.4694,596850252,10605,10542,0
187,1.1368,0.5899,270422674,10603,10544,0
187,1.1368,0.5899,596850252,10243,10542,1
188,1.1003,0.4953,596850252,10556,10542,0
189,1.1046,0.582,1157073988,9658,10863,1
189,1.1046,0.582,270422674,10565,11179,1
189,1.1046,0.582,673218025,10140,10480,1
189,1.1046,0.582,2112837894,10600,10507,0
189,1.1046,0.582,596850252,9608,10542,1
190,1.1261,0.5059,1157073988,10064,10050,0
190,1.1261,0.5059,270422674,10637,10703,1
190,1.1261,0.5059,596850252,10084,10542,1
191,1.1884,0.4912,914123138,10226,50693,1
191,1.1884,0.4912,1487355723,10388,30234,1
191,1.1884,0.4912,1157073988,9383,11069,1
191,1.1884,0.4912,270422674,9919,10396,1
191,1.1884,0.4912,673218025,10770,10815,1
191,1.1884,0.4912,607386998,10518,41062,1
191,1.1884,0.4912,2112837894,9862,10953,1
191,1.1884,0.4912,230499717,9222,20733,1
191,1.1884,0.4912,596850252,10391,10542,1
192,1.1444,0.4994,1157073988,10719,11502,1
192,1.1444,0.4994,270422674,10354,12265,1
192,1.1444,0.4994,673218025,8799,9753,1
192,1.1444,0.4994,2112837894,10442,10389,0
192,1.1444,0.4994,596850252,8522,10542,1
193,1.1684,0.4638,270422674,10864,10794,0
193,1.1684,0.4638,596850252,9993,10542,1
194,1.1787,0.4633,1157073988,10794,10767,0
194,1.1787,0.4633,270422674,9704,11582,1
194,1.1787,0.4633,596850252,9205,10542,1
195,1.2108,0.4781,1157073988,10471,10471,0
195,1.2108,0.4781,270422674,9466,11113,1
195,1.2108,0.4781,596850252,9674,10542,1
196,1.2088,0.4765,596850252,10627,10542,0
197,1.1147,0.4827,596850252,10624,10542,0
198,1.1824,0.4708,1157073988,10547,10435,0
198,1.1824,0.4708,270422674,9423,10672,1
198,1.1824,0.4708,596850252,10115,10542,1
199,1.2225,0.5081,270422674,10750,10623,0
199,1.2225,0.5081,596850252,10164,10542,1
200,1.1462,0.4778,596850252,10627,10542,0
201,1.2328,0.4726,596850252,10669,10542,0
202,1.1284,0.4715,1157073988,10767,11233,1
202,1.1284,0.4715,270422674,10443,11043,1
202,1.1284,0.4715,596850252,9744,10542,1
203,1.2425,0.5257,596850252,10598,10542,0
204,1.1017,0.5947,1157073988,10198,10957,1
204,1.1017,0.5947,270422674,10051,10683,1
204,1.1017,0.5947,673218025,9821,10180,1
204,1.1017,0.5947,2112837894,10274,10389,1
204,1.1017,0.5947,230499717,10728,20169,1
204,1.1017,0.5947,596850252,10104,10542,1
205,1.1656,0.6559,596850252,10549,10542,0
206,1.1734,0.4699,1157073988,10091,10050,0
206,1.1734,0.4699,270422674,10004,10614,1
206,1.1734,0.4699,596850252,10173,10542,1
207,1.1581,0.4608,914123138,10759,60808,1
207,1.1581,0.4608,1487355723,10834,40349,1
207,1.1581,0.4608,1157073988,10367,10852,1
207,1.1581,0.4608,270422674,9467,11364,1
207,1.1581,0.4608,673218025,9996,10679,1
207,1.1581,0.4608,607386998,10433,51177,1
207,1.1581,0.4608,2112837894,10816,21068,1
207,1.1581,0.4608,230499717,9143,30848,1
207,1.1581,0.4608,596850252,9423,10542,1
208,1.1324,0.4809,596850252,10557,10542,0
209,1.1508,0.6437,596850252,10557,10542,0
210,1.1414,0.4708,270422674,10320,10313,0
210,1.1414,0.4708,596850252,10474,10542,1
211,1.1578,0.4888,914123138,10412,59820,1
211,1.1578,0.4888,123368905,10949,80647,1
211,1.1578,0.4888,1487355723,9628,39361,1
211,1.1578,0.4888,1157073988,9989,10050,1
211,1.1578,0.4888,270422674,9898,11262,1
211,1.1578,0.4888,673218025,9364,9691,1
211,1.1578,0.4888,607386998,9341,50189,1
211,1.1578,0.4888,684311997,9417,69981,1
211,1.1578,0.4888,2112837894,9968,20080,1
211,1.1578,0.4888,230499717,10321,29860,1
211,1.1578,0.4888,596850252,9525,10542,1
212,1.1148,0.6468,1157073988,9731,11376,1
212,1.1148,0.6468,270422674,10878,11157,1
212,1.1148,0.6468,673218025,10346,10809,1
212,1.1148,0.6468,596850252,9630,10542,1
213,1.0718,0.5225,270422674,10549,10533,0
213,1.0718,0.5225,596850252,10254,10542,1
214,1.0883,0.5135,270422674,10366,10358,0
214,1.0883,0.5135,596850252,10429,10542,1
215,1.1109,0.4867,270422674,10997,10997,0
215,1.1109,0.4867,596850252,9790,10542,1
216,1.0534,0.5835,596850252,10569,10542,0
217,1.1624,0.5104,1157073988,10922,10909,0
217,1.1624,0.5104,270422674,9377,10411,1
217,1.1624,0.5104,596850252,10376,10542,1
218,1.1882,0.6064,596850252,10556,10542,0
219,1.1109,0.6085,1157073988,11010,11334,1
219,1.1109,0.6085,270422674,10813,11450,1
219,1.1109,0.6085,596850252,9337,10542,1
220,1.0852,0.6398,1157073988,10258,10869,1
220,1.0852,0.6398,270422674,10114,11622,1
220,1.0852,0.6398,673218025,9694,9691,0
220,1.0852,0.6398,596850252,9165,10542,1
221,1.1604,0.459,1157073988,10371,11061,1
221,1.1604,0.459,270422674,10865,11224,1
221,1.1604,0.459,673218025,10441,10367,0
221,1.1604,0.459,596850252,9563,10542,1
222,1.1954,0.4946,1157073988,11445,11398,0
222,1.1954,0.4946,270422674,10692,11006,1
222,1.1954,0.4946,596850252,9781,10542,1
223,1.0879,0.5187,1157073988,9965,10463,1
223,1.0879,0.5187,270422674,9536,10909,1
223,1.0879,0.5187,673218025,9692,9691,0
223,1.0879,0.5187,596850252,9878,10542,1
224,1.1766,0.5114,1157073988,10072,10050,0
224,1.1766,0.5114,270422674,10237,10413,1
224,1.1766,0.5114,596850252,10374,10542,1
225,1.1769,0.4994,596850252,10573,10542,0
226,1.2344,0.5122,1157073988,10562,12134,1
226,1.2344,0.5122,270422674,10287,11881,1
226,1.2344,0.5122,673218025,11474,11762,1
226,1.2344,0.5122,596850252,8906,10542,1
227,1.1867,0.6702,596850252,10681,10542,0
228,1.1767,0.4685,270422674,10889,10696,0
228,1.1767,0.4685,596850252,10091,10542,1
229,1.1179,0.5042,1487355723,10486,39361,1
229,1.1179,0.5042,1157073988,10461,10803,1
229,1.1179,0.5042,270422674,10161,11065,1
229,1.1179,0.5042,673218025,9584,9691,1
229,1.1179,0.5042,2112837894,9943,20080,1
229,1.1179,0.5042,230499717,10593,29860,1
229,1.1179,0.5042,596850252,9722,10542,1
230,1.2035,0.4569,270422674,10307,10286,0
230,1.2035,0.4569,596850252,10501,10542,1
231,1.2519,0.4746,596850252,10608,10542,0
232,1.1286,0.5975,1157073988,10074,10060,0
232,1.1286,0.5975,270422674,9860,11156,1
232,1.1286,0.5975,596850252,9631,10542,1
233,1.2103,0.6149,270422674,10929,10920,0
233,1.2103,0.6149,596850252,9867,10542,1
234,1.1816,0.4996,914123138,10671,61682,1
234,1.1816,0.4996,1487355723,9631,41223,1
234,1.1816,0.4996,1157073988,10895,11303,1
234,1.1816,0.4996,270422674,9776,11565,1
234,1.1816,0.4996,673218025,9966,11553,1
234,1.1816,0.4996,607386998,10026,52051,1
234,1.1816,0.4996,684311997,10437,71843,1
234,1.1816,0.4996,2112837894,9788,21942,1
234,1.1816,0.4996,230499717,10643,31722,1
234,1.1816,0.4996,596850252,9222,10542,1
235,1.2295,0.5037,1157073988,9945,10050,1
235,1.2295,0.5037,270422674,10395,10444,1
235,1.2295,0.5037,673218025,10141,10128,0
235,1.2295,0.5037,596850252,10343,10542,1
236,1.2204,0.487,1157073988,11440,11364,0
236,1.2204,0.487,270422674,10630,11063,1
236,1.2204,0.487,596850252,9724,10542,1
237,1.2633,0.4721,596850252,10605,10542,0
238,1.0851,0.6196,270422674,10562,10523,0
238,1.0851,0.6196,596850252,10264,10542,1
239,1.1013,0.4513,1157073988,10094,10078,0
239,1.1013,0.4513,270422674,10237,10330,1
239,1.1013,0.4513,596850252,10457,10542,1
240,1.1669,0.4822,596850252,10606,10542,0
241,1.1466,0.4924,596850252,10547,10542,0
242,1.0404,0.4792,270422674,10440,10436,0
242,1.0404,0.4792,596850252,10351,10542,1
243,1.1556,0.4655,270422674,10316,10271,0
243,1.1556,0.4655,596850252,10516,10542,1
244,1.1543,0.6086,270422674,11648,11498,0
244,1.1543,0.6086,596850252,9289,10542,1
245,1.2597,0.504,596850252,10583,10542,0
246,1.263,0.4876,1487355723,9935,49716,1
246,1.263,0.4876,1157073988,10065,10355,1
246,1.263,0.4876,270422674,9831,10741,1
246,1.263,0.4876,673218025,10242,20046,1
246,1.263,0.4876,607386998,11647,60544,1
246,1.263,0.4876,2112837894,10408,30435,1
246,1.263,0.4876,230499717,9348,40215,1
246,1.263,0.4876,596850252,10046,10542,1
247,1.1492,0.4955,270422674,10562,10539,0
247,1.1492,0.4955,596850252,10248,10542,1
248,1.1364,0.6617,914123138,11112,70877,1
248,1.1364,0.6617,123368905,12097,91704,1
248,1.1364,0.6617,1487355723,9221,50418,1
248,1.1364,0.6617,1157073988,10621,11057,1
248,1.1364,0.6617,270422674,10442,11725,1
248,1.1364,0.6617,673218025,10149,20748,1
248,1.1364,0.6617,607386998,10720,61246,1
248,1.1364,0.6617,684311997,10315,81038,1
248,1.1364,0.6617,2112837894,9360,31137,1
248,1.1364,0.6617,230499717,9598,40917,1
248,1.1364,0.6617,596850252,9062,10542,1
249,1.172,0.5037,270422674,11391,11312,0
249,1.172,0.5037,596850252,9475,10542,1
250,1.0975,0.5302,270422674,10650,10634,0
250,1.0975,0.5302,596850252,10153,10542,1
251,1.1089,0.6285,1487355723,9974,50237,1
251,1.1089,0.6285,1157073988,9958,10876,1
251,1.1089,0.6285,270422674,9552,11128,1
251,1.1089,0.6285,673218025,10493,20567,1
251,1.1089,0.6285,2112837894,10635,30956,1
251,1.1089,0.6285,230499717,10320,40736,1
251,1.1089,0.6285,596850252,9659,10542,1
252,1.1139,0.6211,1157073988,11306,11304,0
252,1.1139,0.6211,270422674,9832,10629,1
252,1.1139,0.6211,596850252,10158,10542,1
253,1.0822,0.4589,596850252,10544,10542,0
254,1.1619,0.514,1157073988,10994,10831,0
254,1.1619,0.514,270422674,10166,11399,1
254,1.1619,0.514,596850252,9388,10542,1
255,1.1673,0.653,270422674,10803,10757,0
255,1.1673,0.653,596850252,10030,10542,1
256,1.1065,0.5162,596850252,10557,10542,0
257,1.1582,0.6562,596850252,10593,10542,0
258,1.1922,0.4748,1157073988,10279,10730,1
258,1.1922,0.4748,270422674,10213,10400,1
258,1.1922,0.4748,596850252,10387,10542,1
259,1.1891,0.4899,1157073988,10083,10050,0
259,1.1891,0.4899,270422674,9658,10394,1
259,1.1891,0.4899,596850252,10393,10542,1
260,1.2568,0.5072,596850252,10574,10542,0
261,1.1097,0.6304,1157073988,10011,10586,1
261,1.1097,0.6304,270422674,10496,10976,1
261,1.1097,0.6304,673218025,11653,20277,1
261,1.1097,0.6304,596850252,9811,10542,1
262,1.1351,0.6023,270422674,10905,10884,0
262,1.1351,0.6023,596850252,9903,10542,1
263,1.1444,0.6294,1157073988,9431,10391,1
263,1.1444,0.6294,270422674,9312,10717,1
263,1.1444,0.6294,673218025,10928,20082,1
263,1.1444,0.6294,2112837894,9371,30471,1
263,1.1444,0.6294,230499717,12064,40251,1
263,1.1444,0.6294,596850252,10070,10542,1
264,1.1125,0.667,1157073988,8792,12056,1
264,1.1125,0.667,270422674,9797,11637,1
264,1.1125,0.667,673218025,11403,21747,1
264,1.1125,0.667,2112837894,11997,32136,1
264,1.1125,0.667,596850252,9150,10542,1
265,1.1241,0.6262,596850252,10650,10542,0
266,1.1887,0.6124,1157073988,10468,10360,0
266,1.1887,0.6124,270422674,9621,10576,1
266,1.1887,0.6124,596850252,10211,10542,1
267,1.0108,0.6238,596850252,10543,10542,0
268,1.114,0.4985,270422674,10788,10763,0
268,1.114,0.4985,596850252,10024,10542,1
269,1.0953,0.6323,1157073988,9528,10392,1
269,1.0953,0.6323,270422674,10312,10449,1
269,1.0953,0.6323,673218025,10792,20083,1
269,1.0953,0.6323,596850252,10338,10542,1
270,1.2058,0.4945,596850252,10590,10542,0
271,1.1554,0.4838,914123138,9708,71107,1
271,1.1554,0.4838,123368905,10681,91934,1
271,1.1554,0.4838,1487355723,9454,50648,1
271,1.1554,0.4838,1157073988,10096,11287,1
271,1.1554,0.4838,270422674,10417,10645,1
271,1.1554,0.4838,673218025,9856,20978,1
271,1.1554,0.4838,607386998,9451,61476,1
271,1.1554,0.4838,684311997,10228,81268,1
271,1.1554,0.4838,2112837894,10394,31367,1
271,1.1554,0.4838,230499717,9599,41147,1
271,1.1554,0.4838,596850252,10142,10542,1
272,1.208,0.4896,1157073988,9864,10127,1
272,1.208,0.4896,270422674,9807,10406,1
272,1.208,0.4896,673218025,21042,19818,0
272,1.208,0.4896,596850252,10381,10542,1
273,1.1843,0.6131,596850252,10563,10542,0
274,1.11,0.6321,1157073988,10055,10976,1
274,1.11,0.6321,270422674,11146,11277,1
274,1.11,0.6321,673218025,10426,20667,1
274,1.11,0.6321,596850252,9510,10542,1
275,1.2541,0.4693,596850252,10557,10542,0
276,1.1046,0.49,1487355723,10379,60016,1
276,1.1046,0.49,1157073988,9864,20655,1
276,1.1046,0.49,270422674,9315,10605,1
276,1.1046,0.49,673218025,10281,30346,1
276,1.1046,0.49,2112837894,10604,40735,1
276,1.1046,0.49,230499717,9984,50515,1
276,1.1046,0.49,596850252,10182,10542,1
277,1.1293,0.6345,1157073988,10312,20650,1
277,1.1293,0.6345,270422674,10312,10600,1
277,1.1293,0.6345,673218025,10907,30341,1
277,1.1293,0.6345,596850252,10187,10542,1
278,1.1305,0.4591,596850252,10615,10542,0
279,1.1781,0.4909,1157073988,10557,21463,1
279,1.1781,0.4909,270422674,11192,11413,1
279,1.1781,0.4909,596850252,9374,10542,1
280,1.1008,0.6316,596850252,10545,10542,0
281,1.0619,0.6307,596850252,10567,10542,0
282,1.1296,0.5401,1157073988,10258,20488,1
282,1.1296,0.5401,270422674,9749,10438,1
282,1.1296,0.5401,673218025,10676,30179,1
282,1.1296,0.5401,596850252,10349,10542,1
283,1.175,0.5177,596850252,10557,10542,0
284,1.0132,0.6179,596850252,10547,10542,0
285,1.0782,0.4968,596850252,10547,10542,0
286,1.2183,0.4764,596850252,10595,10542,0
287,1.0901,0.4742,270422674,10536,10530,0
287,1.0901,0.4742,596850252,10257,10542,1
288,1.1217,0.5936,1157073988,10535,20327,1
288,1.1217,0.5936,270422674,10157,10277,1
288,1.1217,0.5936,596850252,10510,10542,1
289,1.1539,0.4883,596850252,10617,10542,0
290,1.1781,0.5196,596850252,10568,10542,0
291,1.1938,0.5013,270422674,10302,10292,0
291,1.1938,0.5013,596850252,10495,10542,1
292,1.0544,0.6282,596850252,10543,10542,0
293,1.1106,0.6011,596850252,10583,10542,0
294,1.1778,0.6359,1157073988,9648,20867,1
294,1.1778,0.6359,270422674,9764,10817,1
294,1.1778,0.6359,673218025,11527,30558,1
294,1.1778,0.6359,596850252,9970,10542,1
295,1.2249,0.4899,596850252,10614,10542,0
296,1.2359,0.4903,1157073988,11316,21642,1
296,1.2359,0.4903,270422674,9584,11592,1
296,1.2359,0.4903,673218025,10113,31333,1
296,1.2359,0.4903,2112837894,12106,41722,1
296,1.2359,0.4903,596850252,9195,10542,1
297,1.1739,0.4998,596850252,10583,10542,0
298,1.1954,0.4548,270422674,10859,10852,0
298,1.1954,0.4548,596850252,9935,10542,1
299,1.1988,0.491,596850252,10562,10542,0
300,1.0841,0.6323,914123138,9802,80724,1
300,1.0841,0.6323,123368905,10357,101551,1
300,1.0841,0.6323,1487355723,10329,60265,1
