configuration_id,LL_static_lambda1,LL_static_lambda2,LL_static_lda,LL_static_crossOverBias,seed,time,bound,solved
1,60,55,97,0.3468,976964627,200100,2e+05,0
2,66,69,8,0.4394,976964627,104724,2e+05,1
3,51,55,65,0.381,976964627,200022,2e+05,0
4,64,65,7,0.0757,976964627,84085,2e+05,1
5,94,88,40,0.2317,976964627,200178,2e+05,0
6,90,33,61,0.3601,976964627,200121,2e+05,0
7,5,98,98,0.0604,976964627,200023,2e+05,0
8,22,66,66,0.3745,976964627,200024,2e+05,0
9,25,72,91,0.3773,976964627,200014,2e+05,0
10,1,38,99,0.2747,976964627,200031,2e+05,0
11,20,68,35,0.2976,976964627,200017,2e+05,0
12,43,44,67,0.0502,976964627,116727,2e+05,1
13,100,19,37,0.2798,976964627,200038,2e+05,0
14,73,78,64,0.2003,976964627,200075,2e+05,0
15,63,73,47,0.1756,976964627,200026,2e+05,0
16,52,48,45,0.295,976964627,2e+05,2e+05,0
17,67,98,16,0.2984,976964627,136585,2e+05,1
18,64,28,55,0.2257,976964627,200006,2e+05,0
19,54,59,9,0.0732,976964627,74318,2e+05,1
20,24,67,28,0.1162,976964627,87082,2e+05,1
21,46,82,20,0.2694,976964627,143516,2e+05,1
22,29,84,70,0.0699,976964627,193863,2e+05,1
23,7,65,50,0.1586,976964627,200017,2e+05,0
24,2,34,6,0.2201,976964627,96624,2e+05,1
25,77,67,78,0.3588,976964627,200016,2e+05,0
26,100,18,54,0.4111,976964627,200010,2e+05,0
27,85,73,15,0.4566,976964627,200024,2e+05,0
28,64,47,23,0.3198,976964627,200070,2e+05,0
29,64,56,56,0.0885,976964627,194116,2e+05,1
30,26,28,44,0.1585,976964627,200017,2e+05,0
31,4,74,10,0.4752,976964627,200041,2e+05,0
32,10,56,37,0.1388,976964627,180653,2e+05,1
33,79,16,62,0.2324,976964627,200070,2e+05,0
34,67,67,75,0.3259,976964627,200062,2e+05,0
35,66,13,27,0.4398,976964627,200028,2e+05,0
36,1,75,41,0.0235,976964627,103161,2e+05,1
37,87,60,52,0.3735,976964627,200067,2e+05,0
38,15,73,25,0.112,976964627,84041,2e+05,1
39,78,25,94,0.289,976964627,200026,2e+05,0
40,18,35,68,0.3284,976964627,200022,2e+05,0
41,32,41,45,0.1315,976964627,200040,2e+05,0
42,62,54,84,0.1528,976964627,200100,2e+05,0
43,81,65,59,0.3657,976964627,200020,2e+05,0
44,88,99,17,0.3718,976964627,200058,2e+05,0
45,53,79,57,0.2046,976964627,200110,2e+05,0
46,64,35,21,0.2106,976964627,151026,2e+05,1
47,54,51,38,0.2443,976964627,200017,2e+05,0
48,20,60,2,0.0571,976964627,54464,2e+05,1
48,20,60,2,0.0571,1010701430,46694,2e+05,1
48,20,60,2,0.0571,917007886,56327,2e+05,1
48,20,60,2,0.0571,1673570350,44748,2e+05,1
48,20,60,2,0.0571,1511508930,51828,2e+05,1
48,20,60,2,0.0571,395064476,55226,2e+05,1
48,20,60,2,0.0571,2037563455,49709,2e+05,1
48,20,60,2,0.0571,1177142122,49847,2e+05,1
48,20,60,2,0.0571,976064959,50735,2e+05,1
48,20,60,2,0.0571,926352561,48182,2e+05,1
48,20,60,2,0.0571,1590962420,49114,2e+05,1
48,20,60,2,0.0571,1129705271,48022,2e+05,1
49,94,63,43,0.0654,976964627,125879,2e+05,1
50,74,44,1,0.4498,976964627,150767,2e+05,1
51,92,21,12,0.2086,976964627,102034,2e+05,1
52,63,13,32,0.027,976964627,117631,2e+05,1
53,44,71,52,0.2922,976964627,200100,2e+05,0
54,81,74,74,0.2779,976964627,200105,2e+05,0
55,68,31,88,0.1634,976964627,200079,2e+05,0
56,26,18,76,0.4821,976964627,200024,2e+05,0
57,52,84,94,0.4103,976964627,200056,2e+05,0
58,78,38,66,0.1832,976964627,200100,2e+05,0
59,73,58,25,0.2185,976964627,182000,2e+05,1
60,23,7,61,0.22,976964627,200010,2e+05,0
61,3,66,69,0.1025,976964627,2e+05,2e+05,0
62,13,74,19,0.1647,976964627,84564,2e+05,1
63,47,6,97,0.0317,976964627,200019,2e+05,0
64,73,28,97,0.1291,976964627,200081,2e+05,0
65,93,75,41,0.2226,976964627,200073,2e+05,0
66,32,44,10,0.2144,976964627,62622,2e+05,1
67,37,75,91,0.2938,976964627,200032,2e+05,0
68,3,25,68,0.2577,976964627,200004,2e+05,0
69,80,5,29,0.2976,976964627,200004,2e+05,0
70,56,98,86,0.1818,976964627,200046,2e+05,0
71,82,39,51,0.2486,976964627,200013,2e+05,0
72,19,75,39,0.0623,976964627,82991,2e+05,1
73,13,13,20,0.3791,976964627,200017,2e+05,0
74,77,48,8,0.3797,976964627,99533,2e+05,1
75,16,38,45,0.0323,976964627,57910,2e+05,1
75,16,38,45,0.0323,1010701430,56769,2e+05,1
75,16,38,45,0.0323,917007886,58880,2e+05,1
75,16,38,45,0.0323,1673570350,56718,2e+05,1
75,16,38,45,0.0323,1511508930,55430,2e+05,1
75,16,38,45,0.0323,395064476,58031,2e+05,1
75,16,38,45,0.0323,2037563455,55518,2e+05,1
75,16,38,45,0.0323,1177142122,57117,2e+05,1
75,16,38,45,0.0323,976064959,59662,2e+05,1
75,16,38,45,0.0323,926352561,56062,2e+05,1
76,58,7,82,0.3181,976964627,200005,2e+05,0
77,19,20,34,0.4903,976964627,200031,2e+05,0
78,77,13,28,0.121,976964627,158277,2e+05,1
